Sector Name	Sector Carrier Name	Switch ID	CGI	Carrier Id	Vendor	Antenna 1	Antenna 2	Antenna 3	MCC	MNC	PCI	LTE Mode	TAC	DL Bandwidth	DL RB	UL Bandwidth	UL RB	DL Channel	UL Channel	Cell Radius	Cell Size	Cell Total Power	Reference Signal Power	PSS Power	SSS Power	PBCH Power	PCFICH Power	Qrxlevmin	QQualMin	SIntraSearch	Preamble cyclic shift	Root Sequence Index	IoT Type	A2 RSRP	A2 RSRQ	B1 UMTS RSCP	B1 UMTS EcNo	B1 GSM RSSI	B2 UMTS RSCP	B2 UMTS EcNo	B2 GSM RSSI	B2 UMTS RSRP	B2 UMTS RSRQ	B2 GSM RSRP	B2 GSM RSRQ	Provisioning Params
LF_KO_E_F8_OM_BADNB_B	1017-910758-22-1	1175597	404031233154070	3620	ZTE	LF_KO_E_F8_OM_BADNB_B/1			404	31	316	FDD	14	3.0	15	3.0	15	3620	21620	0.55	Outdoor Macro	46.0	21.2	1.5	1.5	0.0	1.0	-124	-19	44	10	835	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1017|eNB(physical)=2296|eNB(logical)=2296|cell=22|Local Cell id=22|mcc=404|mnc=31|earfcnDl=942.0|earfcnUl=897.0|freqBand=8|TAC=14|bandWidthDl=1|bandWidthUl=1
LF_KO_E_F8_OM_BADNC_C	1017-910758-23-1	1175599	404031233154071	3620	ZTE	LF_KO_E_F8_OM_BADNC_C/1			404	31	317	FDD	14	3.0	15	3.0	15	3620	21620	0.55	Outdoor Macro	46.0	21.2	1.5	1.5	0.0	1.0	-124	-19	44	10	42	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1017|eNB(physical)=2296|eNB(logical)=2296|cell=23|Local Cell id=23|mcc=404|mnc=31|earfcnDl=942.0|earfcnUl=897.0|freqBand=8|TAC=14|bandWidthDl=1|bandWidthUl=1
LF_KO_E_F3_OM_BCRDB_B	1017-925305-2-1	2716165	404031236878082	1366	ZTE	LF_KO_E_F3_OM_BCRDB_B/1			404	31	415	FDD	14	5.0	25	5.0	25	1366	19366	10.0	Outdoor Macro	46.0	21.2	1.5	1.5	0.0	1.0	-124	-19	44	10	275	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1017|eNB(physical)=5305|eNB(logical)=5305|cell=2|Local Cell id=2|mcc=404|mnc=31|earfcnDl=1821.6|earfcnUl=1726.6|freqBand=3|TAC=14|bandWidthDl=2|bandWidthUl=2
LF_KO_E_F3_OM_BCRDC_C	1017-925305-3-1	2716167	404031236878083	1366	ZTE	LF_KO_E_F3_OM_BCRDC_C/1			404	31	416	FDD	14	5.0	25	5.0	25	1366	19366	10.0	Outdoor Macro	46.0	21.2	1.5	1.5	0.0	1.0	-124	-19	44	10	325	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1017|eNB(physical)=5305|eNB(logical)=5305|cell=3|Local Cell id=3|mcc=404|mnc=31|earfcnDl=1821.6|earfcnUl=1726.6|freqBand=3|TAC=14|bandWidthDl=2|bandWidthUl=2
LF_KO_E_F3_OM_BDHRA_A	1020-922968-1-1	1519619	404031236279809	1366	ZTE	LF_KO_E_F3_OM_BDHRA_A/1			404	31	201	FDD	14	5.0	25	5.0	25	1366	19366	9.8	Outdoor Macro	49.0	18.2	1.5	1.5	0.0	1.0	-124	-19	44	8	42	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1020|eNB(physical)=2968|eNB(logical)=2968|cell=1|Local Cell id=1|mcc=404|mnc=31|earfcnDl=1821.6|earfcnUl=1726.6|freqBand=3|TAC=14|bandWidthDl=2|bandWidthUl=2
LF_KO_E_F3_OM_BDHRB_B	1020-922968-2-1	1519621	404031236279810	1366	ZTE	LF_KO_E_F3_OM_BDHRB_B/1			404	31	202	FDD	14	5.0	25	5.0	25	1366	19366	9.8	Outdoor Macro	49.0	18.2	1.5	1.5	0.0	1.0	-124	-19	44	8	48	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1020|eNB(physical)=2968|eNB(logical)=2968|cell=2|Local Cell id=2|mcc=404|mnc=31|earfcnDl=1821.6|earfcnUl=1726.6|freqBand=3|TAC=14|bandWidthDl=2|bandWidthUl=2
LF_KO_E_F3_OM_BDHRC_C	1020-922968-3-1	1519623	404031236279811	1366	ZTE	LF_KO_E_F3_OM_BDHRC_C/1			404	31	203	FDD	14	5.0	25	5.0	25	1366	19366	9.8	Outdoor Macro	49.0	18.2	1.5	1.5	0.0	1.0	-124	-19	44	8	54	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1020|eNB(physical)=2968|eNB(logical)=2968|cell=3|Local Cell id=3|mcc=404|mnc=31|earfcnDl=1821.6|earfcnUl=1726.6|freqBand=3|TAC=14|bandWidthDl=2|bandWidthUl=2
LF_KO_E_F8_OM_BDHRA_A	1020-922968-21-1	1519659	404031236279829	3620	ZTE	LF_KO_E_F8_OM_BDHRA_A/1			404	31	201	FDD	14	3.0	15	3.0	15	3620	21620	0.55	Outdoor Macro	46.0	21.2	1.5	1.5	0.0	1.0	-124	-19	44	10	217	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1020|eNB(physical)=2968|eNB(logical)=2968|cell=21|Local Cell id=21|mcc=404|mnc=31|earfcnDl=942.0|earfcnUl=897.0|freqBand=8|TAC=14|bandWidthDl=1|bandWidthUl=1
LF_KO_E_F8_OM_BDHRB_B	1020-922968-22-1	1519661	404031236279830	3620	ZTE	LF_KO_E_F8_OM_BDHRB_B/1			404	31	202	FDD	14	3.0	15	3.0	15	3620	21620	0.55	Outdoor Macro	46.0	21.2	1.5	1.5	0.0	1.0	-124	-19	44	10	606	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1020|eNB(physical)=2968|eNB(logical)=2968|cell=22|Local Cell id=22|mcc=404|mnc=31|earfcnDl=942.0|earfcnUl=897.0|freqBand=8|TAC=14|bandWidthDl=1|bandWidthUl=1
LF_KO_E_F8_OM_BDHRC_C	1020-922968-23-1	1519663	404031236279831	3620	ZTE	LF_KO_E_F8_OM_BDHRC_C/1			404	31	203	FDD	14	3.0	15	3.0	15	3620	21620	0.55	Outdoor Macro	46.0	21.2	1.5	1.5	0.0	1.0	-124	-19	44	10	236	Non IoT	-138.0	-15.0	-90.0	-10.0	-95.0	-86.0	-8.0	-47.0	-138.0	-11.0	-138.0	-11.0	Network/PLMN=ZTE_NRM_ROOT|Area=1020|eNB(physical)=2968|eNB(logical)=2968|cell=23|Local Cell id=23|mcc=404|mnc=31|earfcnDl=942.0|earfcnUl=897.0|freqBand=8|TAC=14|bandWidthDl=1|bandWidthUl=1
