Technology	RNC Name	RNC Id	NodeB Name	NodeB Id	ENB ID	NodeB Longitude	NodeB Latitude	Sector Name	Active	Noise Figure	AntennaID	Antenna Model	Sector Keywords	Antenna Longitude	Antenna Latitude	Height	Mechanical DownTilt	Azimuth	Downlink Loss	Uplink Loss	RTT fix A Coefficient	RTT fix B Coefficient	RET ID	In Building	Cable Lengths(Calculated)	Sector Height Level(Calculated)
LTE	14	14	LT_813679	813679	813679	88.319194	22.464055	LT_KO_E_T2_OM_TPRNB_B	true	5.0	LT_KO_E_T2_OM_TPRNB_B/1	dummy/dummy		88.319194	22.464055	6.0	0.0	110	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_813679	813679	813679	88.319194	22.464055	LT_KO_E_T2_OM_TPRNC_C	true	5.0	LT_KO_E_T2_OM_TPRNC_C/1	dummy/dummy		88.319194	22.464055	6.0	0.0	260	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_UNIQ	10231	10231	88.309718	22.496387	LT_KO_E_T2_OM_UNIQA_A	true	5.0	LT_KO_E_T2_OM_UNIQA_A/1	932DG65T2EKL/DB856DG65EXY_00DT_0940		88.309718	22.496387	10.0	0.0	350	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_UNIQ	10231	10231	88.309718	22.496387	LT_KO_E_T2_OM_UNIQB_B	true	5.0	LT_KO_E_T2_OM_UNIQB_B/1	932DG65T2EKL/DB856DG65EXY_00DT_0940		88.309718	22.496387	10.0	0.0	100	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_UNIQ	10231	10231	88.309718	22.496387	LT_KO_E_T2_OM_UNIQC_C	true	5.0	LT_KO_E_T2_OM_UNIQC_C/1	932DG65T2EKL/DB856DG65EXY_00DT_0940		88.309718	22.496387	10.0	0.0	240	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_819185	819185	819185	88.3104	22.4794	LT_KO_E_T2_OS_STIC_A	true	5.0	LT_KO_E_T2_OS_STIC_A/1	dummy/dummy		88.3104	22.4794	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_BMRR	10289	10289	88.31669	22.47669	LT_KO_LR_T1_OM_BMRRC_C	true	5.0	LT_KO_LR_T1_OM_BMRRC_C/1	CVVPX310M1_Asset/CVVPX310M1_Port 1 +45_01DT_0942		88.31669	22.47669	15.0	2.0	180	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_BMRR	10289	10289	88.31669	22.47669	LT_KO_LR_T2_OM_BMRRC_C	true	5.0	LT_KO_LR_T2_OM_BMRRC_C/1	CVVPX310M1_Asset/CVVPX310M1_Port 1 +45_01DT_0942		88.31669	22.47669	15.0	2.0	180	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_BJPK	821146	821146	0.0	0.0	LT_KO_ZQ_T1_OM_BJPKA_A	true	5.0	LT_KO_ZQ_T1_OM_BJPKA_A/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_BJPK	821146	821146	0.0	0.0	LT_KO_ZQ_T1_OM_BJPKB_B	true	5.0	LT_KO_ZQ_T1_OM_BJPKB_B/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_BJPK	821146	821146	0.0	0.0	LT_KO_ZQ_T1_OM_BJPKC_C	true	5.0	LT_KO_ZQ_T1_OM_BJPKC_C/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_ESJK	820390	820390	88.30305	22.46016	LT_KO_ZQ_T1_OM_ESJKC_N	true	5.0	LT_KO_ZQ_T1_OM_ESJKC_N/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_SARS	10642	10642	88.294722	22.479997	LT_KO_ZQ_T1_OM_SARSB_M	true	5.0	LT_KO_ZQ_T1_OM_SARSB_M/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_SH18	822279	822279	0.0	0.0	LT_KO_ZQ_T1_OM_SH18A_A	true	5.0	LT_KO_ZQ_T1_OM_SH18A_A/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_SH18	822279	822279	0.0	0.0	LT_KO_ZQ_T1_OM_SH18B_B	true	5.0	LT_KO_ZQ_T1_OM_SH18B_B/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_SH18	822279	822279	0.0	0.0	LT_KO_ZQ_T1_OM_SH18C_C	true	5.0	LT_KO_ZQ_T1_OM_SH18C_C/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_SNRY	820115	820115	88.31657	22.48237	LT_KO_ZQ_T1_OM_SNRYA_A	true	5.0	LT_KO_ZQ_T1_OM_SNRYA_A/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_SNRY	820115	820115	88.31657	22.48237	LT_KO_ZQ_T1_OM_SNRYB_B	true	5.0	LT_KO_ZQ_T1_OM_SNRYB_B/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_SNRY	820115	820115	88.31657	22.48237	LT_KO_ZQ_T1_OM_SNRYC_C	true	5.0	LT_KO_ZQ_T1_OM_SNRYC_C/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_BJPK	821146	821146	0.0	0.0	LT_KO_ZQ_T2_OM_BJPKA_A	true	5.0	LT_KO_ZQ_T2_OM_BJPKA_A/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_BJPK	821146	821146	0.0	0.0	LT_KO_ZQ_T2_OM_BJPKB_B	true	5.0	LT_KO_ZQ_T2_OM_BJPKB_B/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_BJPK	821146	821146	0.0	0.0	LT_KO_ZQ_T2_OM_BJPKC_C	true	5.0	LT_KO_ZQ_T2_OM_BJPKC_C/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_ESJK	820390	820390	88.30305	22.46016	LT_KO_ZQ_T2_OM_ESJKC_N	true	5.0	LT_KO_ZQ_T2_OM_ESJKC_N/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_SARS	10642	10642	88.294722	22.479997	LT_KO_ZQ_T2_OM_SARSB_M	true	5.0	LT_KO_ZQ_T2_OM_SARSB_M/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_SH18	822279	822279	0.0	0.0	LT_KO_ZQ_T2_OM_SH18A_A	true	5.0	LT_KO_ZQ_T2_OM_SH18A_A/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_SH18	822279	822279	0.0	0.0	LT_KO_ZQ_T2_OM_SH18B_B	true	5.0	LT_KO_ZQ_T2_OM_SH18B_B/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	14	14	LT_SH18	822279	822279	0.0	0.0	LT_KO_ZQ_T2_OM_SH18C_C	true	5.0	LT_KO_ZQ_T2_OM_SH18C_C/1	dummy/dummy		0.0	0.0	N/A	N/A	N/A	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_AMRI	911490	911490	88.40221	22.49377	LF_KO_E_F3_IB_AMRIA_A	true	5.0	LF_KO_E_F3_IB_AMRIA_A/1	IBS/Indoor_3G_0EDT		88.40221	22.49377	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_AMRI	911490	911490	88.40221	22.49377	LF_KO_E_F3_IB_AMRIC_C	true	5.0	LF_KO_E_F3_IB_AMRIC_C/1	RV365D-M/RV365D-M_Port 4 -45_04DT_2300		88.40221	22.49377	6.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_AVD2	926397	926397	88.39957	22.49284	LF_KO_E_F3_IB_AVD2D_D	true	5.0	LF_KO_E_F3_IB_AVD2D_D/1	IBS/Indoor_3G_0EDT		88.39957	22.49284	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_AVD2	926397	926397	88.39957	22.49284	LF_KO_E_F3_IB_AVD2E_E	true	5.0	LF_KO_E_F3_IB_AVD2E_E/1	IBS/Indoor_3G_0EDT		88.39957	22.49284	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_AVDI	926396	926396	88.39853	22.49333	LF_KO_E_F3_IB_AVDIC_C	true	5.0	LF_KO_E_F3_IB_AVDIC_C/1	IBS/Indoor_3G_0EDT		88.39853	22.49333	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_AVDI	926396	926396	88.39853	22.49333	LF_KO_E_F3_IB_AVDID_D	true	5.0	LF_KO_E_F3_IB_AVDID_D/1	HWXXX-6516DS-VTM_Asset/HWXXX-6516DS-VTM_Port 1 +45_02DT_2110		88.39853	22.49333	3.0	7.0	230	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_AVDI	926396	926396	88.39853	22.49333	LF_KO_E_F3_IB_AVDIE_E	true	5.0	LF_KO_E_F3_IB_AVDIE_E/1	IBS/Indoor_3G_0EDT		88.39853	22.49333	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_BCTI	912651	912651	88.51642	22.50386	LF_KO_E_F3_IB_BCTIA_A	true	5.0	LF_KO_E_F3_IB_BCTIA_A/1	IBS/Indoor_3G_0EDT		88.51642	22.50386	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_BCTI	912651	912651	88.51642	22.50386	LF_KO_E_F3_IB_BCTIB_B	true	5.0	LF_KO_E_F3_IB_BCTIB_B/1	IBS/Indoor_3G_0EDT		88.51642	22.50386	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_KNMI	911210	911210	88.3929	22.51406	LF_KO_E_F3_IB_KNMIA_A	true	5.0	LF_KO_E_F3_IB_KNMIA_A/1	IBS/Indoor_3G_0EDT		88.3929	22.51406	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_MNHI	910903	910903	88.40093	22.49433	LF_KO_E_F3_IB_MNHIA_A	true	5.0	LF_KO_E_F3_IB_MNHIA_A/1	IBS/Indoor_3G_0EDT		88.40093	22.49433	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_MNHI	910903	910903	88.40093	22.49433	LF_KO_E_F3_IB_MNHIB_B	true	5.0	LF_KO_E_F3_IB_MNHIB_B/1	IBS/Indoor_3G_0EDT		88.40093	22.49433	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_MNHI	910903	910903	88.40093	22.49433	LF_KO_E_F3_IB_MNHIE_E	true	5.0	LF_KO_E_F3_IB_MNHIE_E/1	IBS/Indoor_3G_0EDT		88.40093	22.49433	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_PNMI	922589	922589	88.40312	22.51445	LF_KO_E_F3_IB_PNMIA_A	true	5.0	LF_KO_E_F3_IB_PNMIA_A/1	IBS/Indoor_3G_0EDT		88.40312	22.51445	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_PNMI	922589	922589	88.40312	22.51445	LF_KO_E_F3_IB_PNMIB_B	true	5.0	LF_KO_E_F3_IB_PNMIB_B/1	IBS/Indoor_3G_0EDT		88.40312	22.51445	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_PNMI	922589	922589	88.40312	22.51445	LF_KO_E_F3_IB_PNMIC_C	true	5.0	LF_KO_E_F3_IB_PNMIC_C/1	IBS/Indoor_3G_0EDT		88.40312	22.51445	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_RABI	921746	921746	88.40231	22.4914	LF_KO_E_F3_IB_RABIA_A	true	5.0	LF_KO_E_F3_IB_RABIA_A/1	IBS/Indoor_3G_0EDT		88.40231	22.4914	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_RABI	921746	921746	88.40231	22.4914	LF_KO_E_F3_IB_RABIB_B	true	5.0	LF_KO_E_F3_IB_RABIB_B/1	IBS/Indoor_3G_0EDT		88.40231	22.4914	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_RABI	921746	921746	88.40231	22.4914	LF_KO_E_F3_IB_RABIC_C	true	5.0	LF_KO_E_F3_IB_RABIC_C/1	IBS/Indoor_3G_0EDT		88.40231	22.4914	0.0	0.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_KSIE	926525	926525	88.40569	22.51304	LF_KO_E_F3_IM_KSIEB_B	true	5.0	LF_KO_E_F3_IM_KSIEB_B/1	CVVPX310M1_Asset/CVVPX310M1_Port 1 +45_03DT_0935		88.40569	22.51304	12.0	4.0	120	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_NLPK	910732	910732	88.39273	22.49224	LF_KO_E_F3_IM_NLPKD_D	true	5.0	LF_KO_E_F3_IM_NLPKD_D/1	dummy/dummy		88.39273	22.49224	12.0	0.0	60	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_RCRS	913429	913429	88.40216	22.51533	LF_KO_E_F3_IM_RCRSB_B	true	5.0	LF_KO_E_F3_IM_RCRSB_B/1	CVVPX310M1_Asset/CVVPX310M1_Port 1 +45_02DT_0942		88.40216	22.51533	6.0	5.0	150	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_SRHM	910609	910609	88.40191	22.51693	LF_KO_E_F3_IM_SRHMA_A	true	5.0	LF_KO_E_F3_IM_SRHMA_A/1	CVVPX310M1_Asset/CVVPX310M1_Port 1 +45_02DT_0942		88.40191	22.51693	3.0	4.0	320	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_ADPR	913199	913199	88.40449	22.50801	LF_KO_E_F3_OM_ADPRA_A	true	5.0	LF_KO_E_F3_OM_ADPRA_A/1	DBXLH-6565B-VTM_Asset/DBXLH-6565B-VTM_02DT_2110		88.40449	22.50801	9.0	1.0	0	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_ADPR	913199	913199	88.40449	22.50801	LF_KO_E_F3_OM_ADPRB_B	true	5.0	LF_KO_E_F3_OM_ADPRB_B/1	HWXXX-6516DS-VTM_Asset/HWXXX-6516DS-VTM_Port 1 +45_00DT_2110		88.40449	22.50801	9.0	0.0	140	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_ADPR	913199	913199	88.40449	22.50801	LF_KO_E_F3_OM_ADPRC_C	true	5.0	LF_KO_E_F3_OM_ADPRC_C/1	DBXLH-6565B-VTM_Asset/DBXLH-6565B-VTM_00DT_2110		88.40449	22.50801	9.0	3.0	270	0.0	0.0	0.0	0.0		false		Overground
LTE	12	12	LF_AMRI	911490	911490	88.40221	22.49377	LF_KO_E_F3_OM_AMRID_D	true	5.0	LF_KO_E_F3_OM_AMRID_D/1	RV365D-M/RV365D-M_Port 4 -45_04DT_2300		88.40221	22.49377	3.0	0.0	210	0.0	0.0	0.0	0.0		false		Overground
